时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,昨收,今开,最高,最低
2023-04-06 19:10:52,000001,上证指数,3312.63,0.07,0.0,327155424,506500167165.2,3312.56,3302.75,3314.53,3296.06
2023-04-06 19:10:52,399001,深证成指,11866.31,6.83,0.06,454537865,686785473371.8846,11859.48,11787.35,11874.8,11778.8
2023-04-06 19:10:52,899050,北证50,940.16,-8.46,-0.89,617194,582529664.0,948.62,947.06,947.9,937.7
2023-04-06 19:10:52,000300,沪深300,4096.64,-6.47,-0.16,150703374,328981851588.3,4103.11,4084.13,4098.83,4078.4
2023-04-06 19:10:52,399005,中小100,7857.46,5.71,0.07,36973525,96694370792.21,7851.75,7791.25,7867.25,7781.81
2023-04-06 19:10:52,399006,创业板指,2426.57,4.92,0.2,164546058,317174192905.11,2421.65,2404.26,2428.8,2402.3
2023-04-06 19:10:52,000010,上证180,8610.58,-15.11,-0.18,100081035,181008038812.0,8625.69,8594.55,8624.22,8579.49
2023-04-06 19:10:52,000016,上证50,2666.45,-9.47,-0.35,29605541,58470388254.0,2675.92,2668.13,2672.72,2659.91
2023-04-06 19:10:52,000009,上证380,6016.52,33.04,0.55,57852051,100893607117.0,5983.48,5980.05,6021.84,5974.94
2023-04-06 19:10:52,000132,上证100,6498.92,40.25,0.62,9124558,20624898975.0,6458.67,6451.69,6502.87,6446.6
2023-04-06 19:10:52,000133,上证150,5435.49,33.67,0.62,8880157,21733765772.0,5401.82,5385.53,5440.87,5380.37
2023-04-06 19:10:52,000003,Ｂ股指数,295.61,-0.57,-0.19,190310,144402577.2,296.18,296.75,296.77,295.28
2023-04-06 19:10:52,000012,国债指数,200.04,0.04,0.02,4289665,4276746532.0,200.0,200.03,200.05,200.03
2023-04-06 19:10:52,000013,企债指数,271.92,0.05,0.02,5655221,5540799309.0,271.87,271.92,271.92,271.91
2023-04-06 19:10:52,000011,基金指数,6808.23,8.27,0.12,516620066,95841842779.0,6799.96,6774.03,6820.47,6773.08
2023-04-06 19:10:52,399002,深成指R,15095.8,8.69,0.06,289898475,369573277392.8,15087.11,14995.35,15106.59,14984.48
2023-04-06 19:10:52,399003,成份Ｂ指,8286.17,-10.8,-0.13,93331,38003073.9746,8296.97,8296.51,8305.48,8268.51
2023-04-06 19:10:52,399106,深证综指,2138.58,-0.79,-0.04,454470636,686781052738.0846,2139.37,2127.82,2139.81,2125.6
2023-04-06 19:10:52,399004,深证100R,7140.89,-19.48,-0.27,44994377,130411761794.53,7160.37,7111.9,7144.11,7097.66
2023-04-06 19:10:52,399007,深证300,5035.89,-2.96,-0.06,104612330,253377911643.9,5038.85,5007.21,5039.23,5003.58
2023-04-06 19:10:52,399008,中小300,1530.87,1.58,0.1,88633789,158993737653.83,1529.29,1519.15,1532.62,1517.22
2023-04-06 19:10:52,399293,创业大盘,4554.35,-4.28,-0.09,9810067,50763012667.94,4558.63,4526.59,4558.5,4513.72
2023-04-06 19:10:52,399100,新指数,9923.39,-2.58,-0.03,443009669,682641525628.16,9925.97,9873.43,9928.26,9862.18
2023-04-06 19:10:52,399550,央视50,7257.82,-41.73,-0.57,16446703,45803907012.19,7299.55,7259.47,7278.73,7236.43
2023-04-06 19:10:52,000905,中证500,6416.85,7.95,0.12,144064448,207002794759.6,6408.9,6387.23,6428.72,6382.03
2023-04-06 19:10:52,000903,中证100,3945.89,-5.14,-0.13,73665327,170886043827.3,3951.03,3928.32,3947.73,3922.08
2023-04-06 19:10:52,000906,中证800,4485.5,-3.79,-0.08,294767822,535984646347.9,4489.29,4469.98,4488.89,4464.92
2023-04-06 19:10:52,000688,科创50,1146.96,17.88,1.58,26538856,137333131257.0,1129.08,1127.03,1165.34,1127.03
2023-04-06 19:10:52,000852,中证1000,6983.03,29.67,0.43,191009494,281226984709.7,6953.36,6926.19,6988.37,6921.66
2023-04-06 19:10:52,000001,上证指数,3312.63,0.07,0.0,327155424,506500167165.2,3312.56,3302.75,3314.53,3296.06
2023-04-06 19:10:52,399001,深证成指,11866.31,6.83,0.06,454537865,686785473371.8846,11859.48,11787.35,11874.8,11778.8
2023-04-06 19:10:52,899050,北证50,940.16,-8.46,-0.89,617194,582529664.0,948.62,947.06,947.9,937.7
2023-04-06 19:10:52,000300,沪深300,4096.64,-6.47,-0.16,150703374,328981851588.3,4103.11,4084.13,4098.83,4078.4
2023-04-06 19:10:52,399005,中小100,7857.46,5.71,0.07,36973525,96694370792.21,7851.75,7791.25,7867.25,7781.81
2023-04-06 19:10:52,399006,创业板指,2426.57,4.92,0.2,164546058,317174192905.11,2421.65,2404.26,2428.8,2402.3
2023-04-06 19:10:52,000010,上证180,8610.58,-15.11,-0.18,100081035,181008038812.0,8625.69,8594.55,8624.22,8579.49
2023-04-06 19:10:52,000016,上证50,2666.45,-9.47,-0.35,29605541,58470388254.0,2675.92,2668.13,2672.72,2659.91
2023-04-06 19:10:52,000009,上证380,6016.52,33.04,0.55,57852051,100893607117.0,5983.48,5980.05,6021.84,5974.94
2023-04-06 19:10:52,000132,上证100,6498.92,40.25,0.62,9124558,20624898975.0,6458.67,6451.69,6502.87,6446.6
2023-04-06 19:10:52,000133,上证150,5435.49,33.67,0.62,8880157,21733765772.0,5401.82,5385.53,5440.87,5380.37
2023-04-06 19:10:52,000003,Ｂ股指数,295.61,-0.57,-0.19,190310,144402577.2,296.18,296.75,296.77,295.28
2023-04-06 19:10:52,000012,国债指数,200.04,0.04,0.02,4289665,4276746532.0,200.0,200.03,200.05,200.03
2023-04-06 19:10:52,000013,企债指数,271.92,0.05,0.02,5655221,5540799309.0,271.87,271.92,271.92,271.91
2023-04-06 19:10:52,000011,基金指数,6808.23,8.27,0.12,516620066,95841842779.0,6799.96,6774.03,6820.47,6773.08
2023-04-06 19:10:52,399002,深成指R,15095.8,8.69,0.06,289898475,369573277392.8,15087.11,14995.35,15106.59,14984.48
2023-04-06 19:10:52,399003,成份Ｂ指,8286.17,-10.8,-0.13,93331,38003073.9746,8296.97,8296.51,8305.48,8268.51
2023-04-06 19:10:52,399106,深证综指,2138.58,-0.79,-0.04,454470636,686781052738.0846,2139.37,2127.82,2139.81,2125.6
2023-04-06 19:10:52,399004,深证100R,7140.89,-19.48,-0.27,44994377,130411761794.53,7160.37,7111.9,7144.11,7097.66
2023-04-06 19:10:52,399007,深证300,5035.89,-2.96,-0.06,104612330,253377911643.9,5038.85,5007.21,5039.23,5003.58
2023-04-06 19:10:52,399008,中小300,1530.87,1.58,0.1,88633789,158993737653.83,1529.29,1519.15,1532.62,1517.22
2023-04-06 19:10:52,399293,创业大盘,4554.35,-4.28,-0.09,9810067,50763012667.94,4558.63,4526.59,4558.5,4513.72
2023-04-06 19:10:52,399100,新指数,9923.39,-2.58,-0.03,443009669,682641525628.16,9925.97,9873.43,9928.26,9862.18
2023-04-06 19:10:52,399550,央视50,7257.82,-41.73,-0.57,16446703,45803907012.19,7299.55,7259.47,7278.73,7236.43
2023-04-06 19:10:52,000905,中证500,6416.85,7.95,0.12,144064448,207002794759.6,6408.9,6387.23,6428.72,6382.03
2023-04-06 19:10:52,000903,中证100,3945.89,-5.14,-0.13,73665327,170886043827.3,3951.03,3928.32,3947.73,3922.08
2023-04-06 19:10:52,000906,中证800,4485.5,-3.79,-0.08,294767822,535984646347.9,4489.29,4469.98,4488.89,4464.92
2023-04-06 19:10:52,000688,科创50,1146.96,17.88,1.58,26538856,137333131257.0,1129.08,1127.03,1165.34,1127.03
2023-04-06 19:10:52,000852,中证1000,6983.03,29.67,0.43,191009494,281226984709.7,6953.36,6926.19,6988.37,6921.66
2023-04-06 19:10:52,000001,上证指数,3312.63,0.07,0.0,327155424,506500167165.2,3312.56,3302.75,3314.53,3296.06
2023-04-06 19:10:52,399001,深证成指,11866.31,6.83,0.06,454537865,686785473371.8846,11859.48,11787.35,11874.8,11778.8
2023-04-06 19:10:52,899050,北证50,940.16,-8.46,-0.89,617194,582529664.0,948.62,947.06,947.9,937.7
2023-04-06 19:10:52,000300,沪深300,4096.64,-6.47,-0.16,150703374,328981851588.3,4103.11,4084.13,4098.83,4078.4
2023-04-06 19:10:52,399005,中小100,7857.46,5.71,0.07,36973525,96694370792.21,7851.75,7791.25,7867.25,7781.81
2023-04-06 19:10:52,399006,创业板指,2426.57,4.92,0.2,164546058,317174192905.11,2421.65,2404.26,2428.8,2402.3
2023-04-06 19:10:52,000010,上证180,8610.58,-15.11,-0.18,100081035,181008038812.0,8625.69,8594.55,8624.22,8579.49
2023-04-06 19:10:52,000016,上证50,2666.45,-9.47,-0.35,29605541,58470388254.0,2675.92,2668.13,2672.72,2659.91
2023-04-06 19:10:52,000009,上证380,6016.52,33.04,0.55,57852051,100893607117.0,5983.48,5980.05,6021.84,5974.94
2023-04-06 19:10:52,000132,上证100,6498.92,40.25,0.62,9124558,20624898975.0,6458.67,6451.69,6502.87,6446.6
2023-04-06 19:10:52,000133,上证150,5435.49,33.67,0.62,8880157,21733765772.0,5401.82,5385.53,5440.87,5380.37
2023-04-06 19:10:52,000003,Ｂ股指数,295.61,-0.57,-0.19,190310,144402577.2,296.18,296.75,296.77,295.28
2023-04-06 19:10:52,000012,国债指数,200.04,0.04,0.02,4289665,4276746532.0,200.0,200.03,200.05,200.03
2023-04-06 19:10:52,000013,企债指数,271.92,0.05,0.02,5655221,5540799309.0,271.87,271.92,271.92,271.91
2023-04-06 19:10:52,000011,基金指数,6808.23,8.27,0.12,516620066,95841842779.0,6799.96,6774.03,6820.47,6773.08
2023-04-06 19:10:52,399002,深成指R,15095.8,8.69,0.06,289898475,369573277392.8,15087.11,14995.35,15106.59,14984.48
2023-04-06 19:10:52,399003,成份Ｂ指,8286.17,-10.8,-0.13,93331,38003073.9746,8296.97,8296.51,8305.48,8268.51
2023-04-06 19:10:52,399106,深证综指,2138.58,-0.79,-0.04,454470636,686781052738.0846,2139.37,2127.82,2139.81,2125.6
2023-04-06 19:10:52,399004,深证100R,7140.89,-19.48,-0.27,44994377,130411761794.53,7160.37,7111.9,7144.11,7097.66
2023-04-06 19:10:52,399007,深证300,5035.89,-2.96,-0.06,104612330,253377911643.9,5038.85,5007.21,5039.23,5003.58
2023-04-06 19:10:52,399008,中小300,1530.87,1.58,0.1,88633789,158993737653.83,1529.29,1519.15,1532.62,1517.22
2023-04-06 19:10:52,399293,创业大盘,4554.35,-4.28,-0.09,9810067,50763012667.94,4558.63,4526.59,4558.5,4513.72
2023-04-06 19:10:52,399100,新指数,9923.39,-2.58,-0.03,443009669,682641525628.16,9925.97,9873.43,9928.26,9862.18
2023-04-06 19:10:52,399550,央视50,7257.82,-41.73,-0.57,16446703,45803907012.19,7299.55,7259.47,7278.73,7236.43
2023-04-06 19:10:52,000905,中证500,6416.85,7.95,0.12,144064448,207002794759.6,6408.9,6387.23,6428.72,6382.03
2023-04-06 19:10:52,000903,中证100,3945.89,-5.14,-0.13,73665327,170886043827.3,3951.03,3928.32,3947.73,3922.08
2023-04-06 19:10:52,000906,中证800,4485.5,-3.79,-0.08,294767822,535984646347.9,4489.29,4469.98,4488.89,4464.92
2023-04-06 19:10:52,000688,科创50,1146.96,17.88,1.58,26538856,137333131257.0,1129.08,1127.03,1165.34,1127.03
2023-04-06 19:10:52,000852,中证1000,6983.03,29.67,0.43,191009494,281226984709.7,6953.36,6926.19,6988.37,6921.66
